checked_at_utc,direction,price_czk,origin,destination,airline,flight_date,stops,max_layover_minutes,layover_airports,duration_minutes,flight_numbers,source
2026-09-18T12:26:16+00:00,OUTBOUND,25220,VIE,JFK,Aer Lingus,2027-06-17,1,185,DUB,815,"EI 661, EI 107",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25509,PRG,JFK,Finnair,2027-06-17,1,70,HEL,730,"AY 1222, AY 15",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25564,VIE,EWR,British Airways,2027-06-17,1,105,LHR,735,"BA 729, BA 185",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25645,PRG,JFK,Delta,2027-06-17,0,0,,558,DL 305,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25729,PRG,JFK,KLM,2027-06-17,1,155,AMS,747,"KL 1350, DL 47",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25729,PRG,JFK,KLM,2027-06-17,1,120,AMS,715,"KL 1354, DL 49",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,25759,PRG,JFK,KLM,2027-06-17,1,70,AMS,635,"KL 1356, KL 643",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,26170,PRG,JFK,Air France,2027-06-17,1,125,CDG,730,"AF 1583, AF 4",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,26467,PRG,JFK,Aer Lingus,2027-06-17,1,200,DUB,810,"EI 643, EI 107",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,29864,KRK,JFK,Finnair,2027-06-17,1,70,HEL,715,"AY 1162, AY 15",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,32395,JFK,PRG,Aer Lingus,2027-06-24,1,185,DUB,745,"EI 104, EI 642",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,35201,JFK,KRK,Brussels Airlines,2027-06-24,1,300,BRU,865,"SN 502, SN 2547",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,36851,JFK,KRK,Lufthansa,2027-06-24,1,205,FRA,750,"LH 401, LH 1362",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,36934,JFK,KRK,SWISS,2027-06-24,1,55,ZRH,630,"LX 17, LX 1370",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,37488,EWR,KRK,Lufthansa,2027-06-24,1,75,FRA,625,"LH 403, LH 1362",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,38922,EWR,KRK,Lufthansa,2027-06-24,1,65,MUC,610,"LH 413, LH 1622",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,38963,EWR,PRG,Aer Lingus,2027-06-24,1,130,DUB,695,"EI 100, EI 642",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,39037,EWR,VIE,Tap Air Portugal,2027-06-24,1,155,LIS,785,"TP 202, TP 1270",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,39164,JFK,KRK,Austrian,2027-06-24,1,70,VIE,620,"OS 36, OS 679",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,39298,JFK,VIE,Aer Lingus,2027-06-24,1,170,DUB,740,"EI 104, EI 660",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,39436,JFK,VIE,Air Serbia,2027-06-24,1,135,BEG,765,"JU 501, JU 312",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,40536,JFK,KRK,Scandinavian Airlines,2027-06-24,1,45,CPH,600,"SK 916, SK 1735",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,64902,JFK,PRG,Delta,2027-06-24,0,0,,495,DL 304,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,74994,VIE,LGA,Austrian,2027-06-17,1,100,YUL,718,"OS 55, AC 8640",Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,75320,VIE,EWR,Austrian,2027-06-17,0,0,,550,OS 37,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,OUTBOUND,75320,VIE,JFK,Austrian,2027-06-17,0,0,,550,OS 35,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,77965,EWR,VIE,Austrian,2027-06-24,0,0,,490,OS 38,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,77965,JFK,VIE,Austrian,2027-06-24,0,0,,490,OS 36,Google Flights via SerpApi
2026-09-18T12:26:16+00:00,RETURN,78252,LGA,VIE,United,2027-06-24,1,101,IAD,698,"UA 3688, OS 42",Google Flights via SerpApi
